manuf,model,volt,chuck,brush,no bateries,low max rpm,hi max rpm,price ,torque nm,torque in lb,uwo,source ,,
dewalt ,dcd980l2,18,0.500,brushless,2,2000,2000,249,,,535,https://www.zxzxsell.com/?category_id=5927561,,
grenworks,24v brushless drill,24,0.500,brushless,2,1450,1450,120,,310,,https://www.amazon.com/Greenworks-Brushless-Battery-Included-DD24L00/dp/B086K5Q6JG/ref=asc_df_B086K5Q6JG/?tag=&linkCode=df0&hvadid=416868252671&hvpos=&hvnetw=g&hvrand=13373656977672552228&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9027906&hvtargid=pla-914593312490&ref=&adgrpid=90730998661&th=1,,
crafstman,CMCD710C1,20,0.500,brushless,1,600,1900,105,,,350,https://www.amazon.com/CRAFTSMAN-CMCD710C1-Brushless-Cordless-Driver/dp/B07KHCKFQM/ref=sr_1_4?gclid=Cj0KCQjwguGYBhDRARIsAHgRm4_7_Gvf-rFMFYywdj653YOfn0Zu9DIFKFExhNIJp0kWo5QawRY3sqEaAoXoEALw_wcB&hvadid=409921713099&hvdev=c&hvlocphy=9027906&hvnetw=g&hvqmt=e&hvrand=10482733684831609848&hvtargid=kwd-390392201666&hydadcr=28569_12006661&keywords=craftsman+drill&qid=1662583606&sr=8-4,,
worksite ,cordless drill 20v max 3/8 ,20,0.375,brushed,1,750,750,39.9,,310,,https://www.amazon.com/Cordless-Cleaning-All-Metal-Accessories-WORKSITE/dp/B08T2483LV/ref=sr_1_2_sspa?crid=4EKL6IR46X3U&keywords=cordless+drill&qid=1662557918&sprefix=cordles+drills%2Caps%2C142&sr=8-2-spons&psc=1,,
worksite ,20v 2 speed cordless drill,20,0.500,brushed,1,400,1500,59.99,,442,,https://www.amazon.com/dp/B09DCK4SCY/ref=emc_b_5_t,,
Baurer,20v brushless 1/2 drill,20,0.500,brushless,0,500,1900,60,,405,,https://www.harborfreight.com/power-tools/drills-drivers/cordless-drills-drivers/1-2-in/20v-brushless-cordless-12-in-drilldriver-tool-only-58952.html,,
Hiliti,22volt 1/2 inch high torque drill sf10w,22,0.500,brushed,0,2100,2100,296,,,108,https://www.ebay.com/itm/203848824307,,
Comoware,20v cordless 3/8 drill ,20,0.375,brushed,0,350,1300,56,,266,,https://www.ebay.com/itm/234528248085,,
Reviva ,Reviva 12v max cordless drill,12,0.375,brushed,0,550,550,64.6,,230,,https://www.blackanddecker.com/product/revcdd12c/revivatm-12v-max-cordless-drilldriver?tid=585166,,
warrior,18v lithium 3/8 in drill kit,18,0.375,brushed,1,900,900,29.99,,199,,https://www.harborfreight.com/power-tools/drills-drivers/cordless-drills-drivers/3-8-in/18v-cordless-38-in-drilldriver-kit-64118.html,,
Craftsman ,CMCD700,20,0.500,brushed,0,350,1500,71.5,,,800,https://depotbub.com/products/craftsman-cmcd700-v20-20-volt-max-1-2-in-cordless-drill-driver-tool-only-battery-charger-not-included?variant_id=323637,,
worksite ,20v Brushless drill,20,0.500,brushless,1,480,1800,89.99,,530,,https://www.amazon.com/dp/B08T5S4NRQ/ref=emc_b_5_t,,
Comoware,20v cordless 3/8 drill ,20,0.375,brushed,0,350,1300,40,,266,,https://www.amazon.com/COMOWARE-Cordless-Electric-Batteries-Variable/dp/B08YJTYDD4/ref=sr_1_9?keywords=cordless%2Bdrill&qid=1662583909&sr=8-9&th=1,,
milwuakee,m12 12v 1/2 in brush;ess,12,0.500,brushless,2,1700,1700,129,,350,,https://www.homedepot.com/p/Milwaukee-M12-FUEL-12V-Lithium-Ion-Brushless-Cordless-1-2-in-Drill-Driver-Kit-with-4-0Ah-and-2-0Ah-Battery-and-Hard-Case-2503-22/303688378,,
